"State","County","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days SO2","Days PM2.5","Days PM10"
"Alabama","Baldwin",2019,26,25,1,0,0,0,0,52,43,31,0,0,0,0,26,0
"Alabama","Clay",2019,24,22,2,0,0,0,0,57,45,27,0,0,0,0,24,0
"Alabama","Colbert",2019,28,28,0,0,0,0,0,50,43,23,0,0,0,0,28,0
"Alabama","DeKalb",2019,68,67,1,0,0,0,0,77,40,31,0,0,52,0,16,0
"Alabama","Etowah",2019,26,25,1,0,0,0,0,59,50,27,0,0,0,0,26,0
"Alabama","Houston",2019,30,26,4,0,0,0,0,61,54,31,0,0,0,0,30,0
"Alabama","Jefferson",2019,32,14,18,0,0,0,0,70,63,52,1,0,1,3,27,0
"Alabama","Madison",2019,90,80,10,0,0,0,0,87,51,36,0,0,25,0,65,0
"Alabama","Mobile",2019,69,59,10,0,0,0,0,71,54,30,0,0,0,2,67,0
"Alabama","Montgomery",2019,69,43,26,0,0,0,0,75,62,46,0,0,0,0,69,0
"Alabama","Morgan",2019,70,65,5,0,0,0,0,64,48,29,0,0,0,0,70,0
"Alabama","Russell",2019,69,59,10,0,0,0,0,66,55,33,0,0,0,0,69,0
"Alabama","Sumter",2019,59,59,0,0,0,0,0,43,34,19,0,0,0,8,51,0
"Alabama","Tuscaloosa",2019,28,27,1,0,0,0,0,54,36,26,0,0,0,0,28,0
"Alaska","Denali ",2019,90,89,1,0,0,0,0,54,46,40,0,0,90,0,0,0
"Arizona","Apache",2019,89,89,0,0,0,0,0,19,15,8,0,0,0,0,3,86
"Arizona","Cochise",2019,90,74,16,0,0,0,0,74,56,44,0,0,75,0,3,12
"Arizona","Coconino",2019,90,83,7,0,0,0,0,61,50,44,0,0,90,0,0,0
"Arizona","Gila",2019,90,43,29,12,6,0,0,187,125,51,0,0,47,43,0,0
